5|1|B
5|1|C1
5|2|B
5|2|C1
5|3|B
5|3|C1
5|4|B
5|4|C1
5|5|B
5|5|C1
5|6|B
5|6|C1
5|7|B
5|7|C1
5|8|B
5|8|C1
5|9|B
5|9|C1
5|10|B
5|10|C1
5|11|B
5|11|C1
5|12|B
5|12|C1
5|13|B
5|13|C1
5|14|B
5|14|C1
5|15|B
5|15|C1
5|16|B
5|16|C1
5|17|B
5|17|C1
5|18|B
5|18|C1
5|19|B
5|19|C1
5|20|B
5|20|C1
5|21|B
5|21|C1
5|22|B
5|22|C1
5|23|B
5|23|C1
5|24|B
5|24|C1
5|25|B
5|25|C1
5|26|B
5|26|C1
5|27|B
5|27|C1
5|28|B
5|28|C1
5|29|B
5|29|C1
5|30|B
5|30|C1
5|31|B
5|31|C1
5|32|B
5|32|C1
5|33|B
5|33|C1
5|34|B
5|34|C1
5|35|B
5|35|C1
5|36|B
5|36|C1
5|37|B
5|37|C1
5|38|B
5|38|C1
5|39|B
5|39|C1
5|40|B
5|40|C1
5|41|B
5|41|C1
5|42|B
5|42|C1
5|43|B
5|43|C1
5|44|B
5|44|C1
5|45|B
5|45|C1
5|46|B
5|47|B
5|47|C1
5|48|B
5|48|C1
5|49|B
5|49|C1
5|50|B
5|50|C1
5|51|B
5|51|C1
5|52|B
5|52|C1
5|53|B
5|53|C1
5|54|B
5|54|C1
5|55|B
5|55|C1
5|56|B
5|56|C1
5|56|C2
5|56|C3
5|57|B
5|57|C1
5|58|B
5|58|C1
5|58|C2
5|59|B
5|59|C1
5|60|B
5|60|C1
5|61|B
5|61|C1
5|62|B
5|62|C1
5|63|B
5|63|C1
5|64|B
5|64|C1
5|65|B
5|65|C1
5|66|B
5|66|C1
5|67|B
5|67|C1
5|67|C2
5|68|B
5|68|C1
5|69|B
5|69|C1
5|70|B
5|70|C1
5|70|C2
5|71|B
5|71|C1
5|72|B
5|72|C1
5|72|C2
5|73|B
5|73|C1
5|74|B
5|74|C1
5|75|B
5|75|C1
5|76|B
5|76|C1
5|76|C2
5|77|B
5|77|C1
5|78|B
5|78|C1
5|79|B
5|79|C1
5|79|C2
5|79|C3
5|79|C4
5|80|B
5|80|C1
5|81|B
5|81|C1
5|82|B
5|82|C1
5|83|B
5|83|C1
5|84|B
5|84|C1
5|84|C2
5|85|B
5|85|C1
5|86|B
5|86|C1
5|87|B
5|87|C1
5|88|B
5|88|C1
3|89|B
3|89|C1
5|90|B
5|90|C1
5|90|C2
5|91|B
5|91|C1
5|91|E
5|92|B
5|92|C1
5|93|B
5|93|C1
5|94|B
5|94|C1
5|95|B
5|95|C1
5|96|B
5|96|C1
5|97|B
5|97|C1
5|97|C2
5|98|B
5|98|C1
5|99|B
5|99|C1
5|100|B
5|100|C1
5|101|B
5|101|C1
5|102|B
5|102|C1
5|103|B
5|103|C1
5|104|B
5|104|C1
5|105|B
5|105|C1
3|106|B
3|106|C1
3|107|B
3|107|C1
3|108|B
3|108|C1
5|109|B
5|109|C1
5|109|C2
5|110|B
5|110|C1
5|111|B
5|111|C1
5|111|C2
5|112|B
5|112|C1
5|113|B
5|113|C1
5|114|B
5|115|B
5|115|C1
5|116|B
5|116|C1
5|117|B
5|118|B
5|118|C1
5|119|B
5|119|C1
5|120|B
5|120|C1
5|121|B
5|121|C1
5|122|B
5|122|C1
5|123|B
5|123|C1
3|124|B
3|124|C1
3|125|B
3|125|C1
3|125|C2
3|126|B
3|126|C1
3|127|B
3|127|C1
3|128|B
3|128|C1
3|129|B
3|129|C1
3|129|C2
3|130|B
3|131|B
3|131|C1
3|132|B
3|132|C1
3|133|B
3|133|C1
3|134|B
3|134|C1
3|135|B
3|136|B
3|136|C1
3|137|B
3|137|C1
3|138|B
3|138|C1
3|139|B
