1|1|738327|26.02|4|
1|2|339536|11.96|0|
1|3|1275968|44.96|37|
1|4|40748|1.44|0|
1|5|256651|9.04|0|
1|6|51143|1.80|0|
1|7|10487|0.37|0|
1|8|14469|0.51|0|
1|9|70966|2.50|0|
1|10|16235|0.57|0|
1|11|20321|0.72|0|
1|12|2180|0.08|0|
1|13|516|0.02|0|
1|14|95|0.00|0|
1|15|150|0.01|0|
2|11661|11661|40.45|
3|1|1|11577|
3|1|2|5637|
3|1|3|36206|
3|1|4|1158|
3|1|5|8329|
3|1|6|613|
3|1|7|253|
3|1|8|214|
3|1|9|885|
3|1|10|281|
3|1|11|275|
3|1|12|145|
3|2|1|25995|
3|2|2|8157|
3|2|3|30503|
3|2|4|702|
3|2|5|6966|
3|2|6|864|
3|2|7|244|
3|2|8|512|
3|2|9|1542|
3|2|10|284|
3|2|11|784|
3|3|1|27213|
3|3|2|11117|
3|3|3|36633|
3|3|4|1617|
3|3|5|9856|
3|3|6|1037|
3|3|7|454|
3|3|8|372|
3|3|9|2081|
3|3|10|1008|
3|3|11|496|
3|4|1|14781|
3|4|2|8584|
3|4|3|34355|
3|4|4|888|
3|4|5|6526|
3|4|6|1801|
3|4|7|286|
3|4|8|207|
3|4|9|989|
3|4|10|281|
3|4|11|595|
3|5|1|26918|
3|5|2|8783|
3|5|3|33806|
3|5|4|824|
3|5|5|7398|
3|5|6|1204|
3|5|7|394|
3|5|8|597|
3|5|9|1447|
3|5|10|1013|
3|5|11|461|
3|6|1|12941|
3|6|2|7927|
3|6|3|31583|
3|6|4|902|
3|6|5|5428|
3|6|6|814|
3|6|7|180|
3|6|8|204|
3|6|9|841|
3|6|10|219|
3|6|11|321|
3|6|13|466|
3|7|1|22542|
3|7|2|8617|
3|7|3|28354|
3|7|4|685|
3|7|5|6396|
3|7|6|1178|
3|7|7|223|
3|7|8|294|
3|7|9|1589|
3|7|10|345|
3|7|11|579|
3|8|1|17353|
3|8|2|10619|
3|8|3|35710|
3|8|4|1195|
3|8|5|7295|
3|8|6|1073|
3|8|7|271|
3|8|8|232|
3|8|9|1467|
3|8|10|349|
3|8|11|557|
3|9|1|26014|
3|9|2|9958|
3|9|3|33315|
3|9|4|559|
3|9|5|6703|
3|9|6|1372|
3|9|7|235|
3|9|8|214|
3|9|9|1698|
3|9|10|405|
3|9|11|462|
3|10|1|17112|
3|10|2|9951|
3|10|3|40442|
3|10|4|869|
3|10|5|6439|
3|10|6|1015|
3|10|7|223|
3|10|8|507|
3|10|9|2015|
3|10|10|428|
3|10|11|527|
3|10|12|311|
3|11|1|21417|
3|11|2|11519|
3|11|3|36931|
3|11|4|1284|
3|11|5|7142|
3|11|6|1474|
3|11|7|249|
3|11|8|229|
3|11|9|1842|
3|11|10|427|
3|11|11|548|
3|12|1|20523|
3|12|2|9933|
3|12|3|37257|
3|12|4|834|
3|12|5|7412|
3|12|6|2007|
3|12|7|394|
3|12|8|241|
3|12|9|1740|
3|12|10|621|
3|12|11|571|
3|13|1|18762|
3|13|2|10944|
3|13|3|38071|
3|13|4|663|
3|13|5|6655|
3|13|6|1031|
3|13|7|358|
3|13|8|503|
3|13|9|2373|
3|13|10|359|
3|13|11|592|
3|14|1|33246|
3|14|2|9486|
3|14|3|25583|
3|14|4|456|
3|14|5|5251|
