2	2	5	20	C1	5	5	14			2	2	3	185	B	1	1	54	53	52	9	19	4	13	3	0	22
2	2	5	20	C1	6	6	1			2	2	3	185	C1	1	1	57	60	46	10	16	2	5	2	0	34
2	2	5	20	C1	7	7	0			2	2	3	196	B	1	1	65	42	71	10	20	6	7	3	0	23
2	2	5	20	C1	8	8	4			2	2	3	196	C1	1	1	50	40	70	9	29	5	10	3	75	21
2	2	5	20	C1	9	9	1			2	2	3	198	C2	1	1	67	35	50	11	31	4	5	1	1	16
2	2	5	20	C1	24	10	15			2	2	3	215	B	1	1	45	53	87	14	22	1	13	3	0	13
2	2	5	21	C1	1	1	22			2	2	3	222	C2	1	1	39	38	113	20	14	0	2	0	113	17
2	2	5	21	C1	2	2	32			2	2	3	224	C1	1	1	61	45	63	10	12	9	7	3	2	25
2	2	5	21	C1	3	3	90			2	2	3	225	B	1	1	58	52	87	18	14	3	8	1	1	22
2	2	5	21	C1	4	4	18			2	2	3	225	C1	1	1	56	45	70	21	20	7	8	4	2	21
2	2	5	21	C1	5	5	11			2	2	3	225	C2	1	1	52	34	85	17	17	7	10	3	0	23
2	2	5	21	C1	6	6	5			2	2	3	228	C1	1	1	55	52	119	12	20	6	8	3	0	23
2	2	5	21	C1	7	7	3			2	2	3	229	B	1	1	38	39	82	10	10	8	6	0	2	22
2	2	5	21	C1	8	8	1			2	2	3	230	B	1	1	51	34	72	14	21	1	8	0	0	11
2	2	5	21	C1	9	9	1			2	2	3	230	C2	1	1	44	46	72	13	9	4	4	3	0	10
2	2	5	21	C1	24	10	17			2	2	3	233	B	1	1	63	31	73	18	21	4	2	2	2	22
2	2	5	25	B	1	1	28			2	2	3	234	B	1	1	71	23	62	8	17	4	3	5	0	25
2	2	5	25	B	2	2	48			2	2	3	237	C2	1	1	66	45	82	14	15	7	8	3	0	16
2	2	5	25	B	3	3	50			2	2	3	244	B	1	1	59	41	53	11	13	4	4	0	0	14
2	2	5	25	B	4	4	7			2	2	3	247	C1	1	1	45	40	84	15	28	7	8	2	0	15
2	2	5	25	B	5	5	12			2	2	3	250	B	1	1	71	24	65	8	14	2	4	0	67	20
2	2	5	25	B	6	6	5			2	2	3	252	B	1	1	47	32	80	23	19	2	8	3	0	16
2	2	5	25	B	7	7	8			2	2	3	252	C1	1	1	57	36	83	18	19	3	6	2	0	14
2	2	5	25	B	8	8	3			2	2	3	257	C1	1	1	54	49	91	21	20	3	7	0	94	21
2	2	5	25	B	9	9	0			2	2	3	261	C2	1	1	64	37	64	16	12	3	7	4	0	11
