ELECCIÓN DE GOBERNADOR DEL ESTADO DE MÉXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2017 13:00 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_FUERA_DE_CATÁLOGO,ACTAS_REGISTRADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18606,0,18173,18173,97.6727,17772,97.7934,2.2065,401,52.4964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_estado,estado,id_distrito_local,distrito_local,seccion,id_casilla,tipo_casilla,extraordinariacontigua,ubicacion_casilla,tipo_de_acta,boletas_sobrantes,total_ciudadanos_votaron,num_boletas_extraidas,pan,pri,prd,pt,pvem,na,morena,pes,c_pri_pvem_na_pes,c_pri_pvem_na,c_pri_pvem_pes,c_pri_na_pes,c_pri_pvem,c_pri_na,c_pri_pes,c_pvem_na_pes,c_pvem_na,c_pvem_pes,c_na_pes,cand_ind_1,no_registrados,nulos,total_votos,lista_nominal,observaciones,contabilizada,mecanismo_de_traslado,sha,fecha_hora_acopio,fecha_hora_captura,fecha_hora_registro
15,Estado de México,41,NEZAHUALCOYOTL,3064,1,B,0,1,2,278,271,271,8,55,152,0,1,0,48,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,2,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1,0,0,267,531,,1,DAT,e5b32801c9257617e9feed160775e81cb7b79a7b49d7ceed24c946661580934c,04/06/2017 19:12,04/06/2017 19:16,04/06/2017 19:23
15,Estado de México,21,ECATEPEC DE MORELOS,1302,1,S,0,1,3,12,756,756,52,278,105,1,15,10,244,6,4,2,0,0,1,1,1,0,0,0,0,19,2,15,756,0,,1,DAT,0df78a8c8a3806b16f7880521ee57b8515188bfec392acdb9c5737186d5ad294,04/06/2017 19:13,04/06/2017 19:18,04/06/2017 19:20
15,Estado de México,1,CHALCO DE DIAZ COVARRUBIAS,1026,1,S,0,1,3,15,753,753,62,198,153,4,2,32,269,3,0,0,0,0,0,0,1,0,0,0,0,15,0,15,754,0,,1,DAT,6a3dc2833f6943d767f6b75d551d682212f61a942714c2df0052ea341e0ed6b1,04/06/2017 19:11,04/06/2017 19:18,04/06/2017 19:25
15,Estado de México,18,TLALNEPANTLA DE BAZ,5013,1,S,0,1,3,15,753,753,94,299,84,3,2,6,232,3,0,0,0,0,0,1,0,0,0,0,0,15,2,12,753,0,,1,Itinerante,3655a00a0a7b4e337a4a1fa32fce9f75cdf7fd995ae99ea821b14be7f52df70b,04/06/2017 19:14,04/06/2017 19:18,04/06/2017 19:20
15,Estado de México,41,NEZAHUALCOYOTL,3686,1,C,0,1,2,221,258,312,10,59,125,1,4,4,58,2,2,0,0,0,0,0,0,0,0,0,0,4,0,7,276,479,,1,DAT,1944938545ba24b8bdd4b2e08909de33289f937418f9a718aa31575b3fb20326,04/06/2017 19:27,04/06/2017 19:32,04/06/2017 19:36
15,Estado de México,13,ATLACOMULCO DE FABELA,428,1,E,0,2,2,50,118,122,3,80,14,1,2,0,11,1,2,0,0,0,3,0,0,0,0,0,0,0,0,5,122,154,,1,DAT,1448610c35337125db5de6613cfc7edc2c8d585eb3055253570f53a2bf422ed5,04/06/2017 19:28,04/06/2017 19:34,04/06/2017 19:37
15,Estado de México,36,SAN MIGUEL ZINACANTEPEC,5826,1,S,0,2,3,15,753,753,52,234,150,9,8,9,254,2,1,1,0,1,2,2,0,0,0,0,0,15,0,13,753,0,,1,Itinerante,6bca0e1cecaa4394dc1e1e3ce093c701c557a36abb93e55907cd6b738daca6b4,04/06/2017 19:32,04/06/2017 19:36,04/06/2017 19:39
15,Estado de México,25,NEZAHUALCOYOTL,3082,1,B,0,1,2,279,265,267,11,34,161,0,0,1,50,1,0,0,0,0,0,0,1,0,0,0,0,2,0,6,267,528,,1,DAT,9d575d8f1e2ae21850da662b4140a8db4a2552b6945a0b6f7aba6ac8e730f405,04/06/2017 19:32,04/06/2017 19:36,04/06/2017 19:40
15,Estado de México,31,LOS REYES ACAQUILPAN,3971,2,C,0,1,2,287,251,250,7,79,62,1,1,1,82,0,1,0,0,1,1,1,0,0,1,0,0,4,0,8,250,520,,1,DAT,a2017c9ff634cff2d79c8ba56894c918abe40c4a7d1cfd9cb2cff01dc6776ad4,04/06/2017 19:30,04/06/2017 19:37,04/06/2017 19:43
15,Estado de México,7,TENANCINGO DE DEGOLLADO,4432,1,S,0,1,3,15,753,753,81,184,153,8,4,9,278,2,0,0,0,0,0,0,0,0,0,0,0,22,0,12,753,0,,1,DAT,bd57b36bea86a7d700f42b04b58c4c758b4ac59e478be204a6af9cbd03f241e3,04/06/2017 19:31,04/06/2017 19:39,04/06/2017 19:42
15,Estado de México,44,NICOLAS ROMERO,3738,1,S,0,1,3,0,14,754,62,291,79,5,9,19,257,4,3,1,1,0,4,0,0,0,0,0,0,6,0,13,754,0,,1,DAT,b64a4ecc900cb8d14ffe4492d8acd1e41521cf2369d746a53ab32b8cb144aa39,04/06/2017 19:34,04/06/2017 19:40,04/06/2017 19:42
15,Estado de México,38,COACALCO DE BERRIOZABAL,594,1,S,0,1,3,16,752,752,43,210,135,2,5,17,315,6,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,14,0,4,752,0,,1,DAT,8382648d3318521686d2acfe612e140bda3a3305938411ba44ba5cb17089fcc1,04/06/2017 19:40,04/06/2017 19:42,04/06/2017 19:46
